date,game_name,game_url,plays_count_observed,favorites_count_observed,plays_text,favorites_text,metrics_url,capture_timestamp,capture_url,parser,confidence,notes
2024-06-19,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46740351,80652,"46,740,351","80,652",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240619033138,https://web.archive.org/web/20240619033138/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240619033138_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_ab7722fe4b590d63.json
2024-07-05,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46744795,80659,"46,744,795","80,659",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240705131313,https://web.archive.org/web/20240705131313/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240705131313_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_d18459fcf90dd6df.json
2024-07-10,Clicker Heroes,http://www.kongregate.com/games/Playsaurus/clicker-heroes,34891613,88817,"34,891,613","88,817",https://www.kongregate.com/games/Playsaurus/clicker-heroes/metrics.json,20240710191744,https://web.archive.org/web/20240710191744/https://www.kongregate.com/games/Playsaurus/clicker-heroes/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240710191744_https_www.kongregate.com_games_Playsaurus_clicker-heroes_metrics.json_bfb585457883b7e2.json
2024-07-16,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31688902,203681,"31,688,902","203,681",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20240716025554,https://web.archive.org/web/20240716025554/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240716025554_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_687519c14654507a.json
2024-07-30,Dream World,http://www.kongregate.com/games/kingk/dream-world,31969235,62807,"31,969,235","62,807",https://www.kongregate.com/games/kingk/dream-world/metrics.json,20240730172026,https://web.archive.org/web/20240730172026/https://www.kongregate.com/games/kingk/dream-world/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240730172026_https_www.kongregate.com_games_kingk_dream-world_metrics.json_561848595750722f.json
2024-08-01,Dream World,http://www.kongregate.com/games/kingk/dream-world,31970969,62813,"31,970,969","62,813",https://www.kongregate.com/games/kingk/dream-world/metrics.json,20240801142634,https://web.archive.org/web/20240801142634/https://www.kongregate.com/games/kingk/dream-world/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240801142634_https_www.kongregate.com_games_kingk_dream-world_metrics.json_f2e38553e2d10171.json
2024-08-02,Dream World,http://www.kongregate.com/games/kingk/dream-world,31973652,62815,"31,973,652","62,815",https://www.kongregate.com/games/kingk/dream-world/metrics.json,20240802160353,https://web.archive.org/web/20240802160353/https://www.kongregate.com/games/kingk/dream-world/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240802160353_https_www.kongregate.com_games_kingk_dream-world_metrics.json_4c44567d8d86025c.json
2024-08-03,Dream World,http://www.kongregate.com/games/kingk/dream-world,31975221,62822,"31,975,221","62,822",https://www.kongregate.com/games/kingk/dream-world/metrics.json,20240803083105,https://web.archive.org/web/20240803083105/https://www.kongregate.com/games/kingk/dream-world/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240803083105_https_www.kongregate.com_games_kingk_dream-world_metrics.json_2675440bbad5dbab.json
2024-08-03,Dream World,http://www.kongregate.com/games/kingk/dream-world,31975490,62822,"31,975,490","62,822",https://www.kongregate.com/games/kingk/dream-world/metrics.json,20240803155140,https://web.archive.org/web/20240803155140/https://www.kongregate.com/games/kingk/dream-world/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240803155140_https_www.kongregate.com_games_kingk_dream-world_metrics.json_8fb8140249cb6cde.json
2024-08-16,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46755193,80672,"46,755,193","80,672",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240816073422,https://web.archive.org/web/20240816073422/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240816073422_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_318c279b9a9e6dea.json
2024-09-08,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46761401,80680,"46,761,401","80,680",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240908193418,https://web.archive.org/web/20240908193418/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240908193418_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_ba38a8aa7607e07c.json
2024-09-09,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46761577,80681,"46,761,577","80,681",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20240909150622,https://web.archive.org/web/20240909150622/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240909150622_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_431efb91c0dded3c.json
2024-09-18,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31719993,203784,"31,719,993","203,784",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20240918144624,https://web.archive.org/web/20240918144624/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20240918144624_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_737ce989e75e5865.json
2024-10-01,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46767317,80694,"46,767,317","80,694",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20241001163949,https://web.archive.org/web/20241001163949/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20241001163949_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_9aa44df90566c72f.json
2024-10-09,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46769288,80697,"46,769,288","80,697",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20241009081945,https://web.archive.org/web/20241009081945/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20241009081945_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_319dfa414cf55a01.json
2024-12-07,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46783995,80715,"46,783,995","80,715",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20241207020941,https://web.archive.org/web/20241207020941/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20241207020941_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_681e8890d5c6714e.json
2025-02-08,Cosmos Quest,http://www.kongregate.com/games/GaiaByte/cosmos-quest,13273338,16618,"13,273,338","16,618",https://www.kongregate.com/games/GaiaByte/cosmos-quest/metrics.json,20250208110846,https://web.archive.org/web/20250208110846/https://www.kongregate.com/games/GaiaByte/cosmos-quest/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250208110846_https_www.kongregate.com_games_GaiaByte_cosmos-quest_metrics.json_224d930b1467d5cb.json
2025-02-24,Cosmos Quest,http://www.kongregate.com/games/GaiaByte/cosmos-quest,13280830,16624,"13,280,830","16,624",https://www.kongregate.com/games/GaiaByte/cosmos-quest/metrics.json,20250224105126,https://web.archive.org/web/20250224105126/https://www.kongregate.com/games/GaiaByte/cosmos-quest/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250224105126_https_www.kongregate.com_games_GaiaByte_cosmos-quest_metrics.json_122292a96293aa3b.json
2025-04-17,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31825591,204075,"31,825,591","204,075",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20250417225500,https://web.archive.org/web/20250417225500/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250417225500_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_4526175760d03811.json
2025-05-05,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31832190,204094,"31,832,190","204,094",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20250505044002,https://web.archive.org/web/20250505044002/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250505044002_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_8e0d5ea69b61685c.json
2025-05-16,UPGRADE COMPLETE!,http://www.kongregate.com/games/ArmorGames/upgrade-complete,6056946,50688,"6,056,946","50,688",https://www.kongregate.com/games/ArmorGames/upgrade-complete/metrics.json,20250516010517,https://web.archive.org/web/20250516010517/https://www.kongregate.com/games/ArmorGames/upgrade-complete/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250516010517_https_www.kongregate.com_games_ArmorGames_upgrade-complete_metrics.json_6122ac49d8a712c9.json
2025-06-10,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31847025,204129,"31,847,025","204,129",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20250610145724,https://web.archive.org/web/20250610145724/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250610145724_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_4c275f16d6e8b10f.json
2025-06-14,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31848281,204127,"31,848,281","204,127",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20250614101343,https://web.archive.org/web/20250614101343/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250614101343_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_586f3b4a9fd5c9e8.json
2025-06-18,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31849289,204128,"31,849,289","204,128",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20250618092632,https://web.archive.org/web/20250618092632/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250618092632_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_760040f5a03755ea.json
2025-07-10,UPGRADE COMPLETE!,http://www.kongregate.com/games/ArmorGames/upgrade-complete,6057632,50689,"6,057,632","50,689",https://www.kongregate.com/games/ArmorGames/upgrade-complete/metrics.json,20250710191136,https://web.archive.org/web/20250710191136/https://www.kongregate.com/games/ArmorGames/upgrade-complete/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250710191136_https_www.kongregate.com_games_ArmorGames_upgrade-complete_metrics.json_cef13f71f67c5309.json
2025-07-17,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46837670,80765,"46,837,670","80,765",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20250717081441,https://web.archive.org/web/20250717081441/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250717081441_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_46cdc92fdd414808.json
2025-08-02,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46840782,80767,"46,840,782","80,767",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20250802211120,https://web.archive.org/web/20250802211120/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250802211120_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_e55cf46ae1ed7094.json
2025-08-13,Cosmos Quest,http://www.kongregate.com/games/GaiaByte/cosmos-quest,13360424,16670,"13,360,424","16,670",https://www.kongregate.com/games/GaiaByte/cosmos-quest/metrics.json,20250813010217,https://web.archive.org/web/20250813010217/https://www.kongregate.com/games/GaiaByte/cosmos-quest/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250813010217_https_www.kongregate.com_games_GaiaByte_cosmos-quest_metrics.json_7b64e2bf5d49accf.json
2025-08-30,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46846739,80770,"46,846,739","80,770",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20250830181610,https://web.archive.org/web/20250830181610/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20250830181610_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_ff2bdd44799d2ebe.json
2025-10-01,Bloons TD 5,http://www.kongregate.com/games/Ninjakiwi/bloons-td-5,35372565,228656,"35,372,565","228,656",https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,20251001174235,https://web.archive.org/web/20251001174235/https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20251001174235_https_www.kongregate.com_games_Ninjakiwi_bloons-td-5_metrics.json_688b3b92537ff12e.json
